N	V	V1
567000	35390	14990
568000	35439	15014
569000	35475	15034
570000	35500	15041
571000	35525	15053
572000	35554	15063
573000	35574	15062
574000	35597	15070
575000	35636	15082
576000	35709	15129
577000	35763	15156
578000	35780	15163
579000	35833	15181
580000	35858	15188
581000	35893	15207
582000	35925	15227
583000	35954	15246
584000	35977	15256
585000	36005	15263
586000	36043	15274
587000	36104	15304
588000	36153	15318
589000	36168	15315
590000	36224	15345
591000	36285	15373
592000	36311	15389
593000	36354	15405
594000	36394	15421
595000	36412	15433
596000	36422	15433
597000	36485	15465
598000	36568	15508
599000	36618	15538
600000	36656	15550
601000	36698	15554
602000	36742	15563
603000	36768	15570
604000	36795	15581
605000	36840	15605
606000	36883	15615
607000	36913	15628
608000	36949	15646
609000	36971	15648
610000	37002	15667
611000	37026	15676
612000	37059	15691
613000	37078	15696
614000	37098	15704
615000	37133	15709
616000	37161	15721
617000	37217	15751
618000	37262	15773
619000	37306	15796
620000	37337	15806
621000	37365	15821
622000	37409	15851
623000	37444	15869
624000	37492	15891
625000	37517	15898
626000	37556	15919
627000	37582	15925
628000	37615	15934
629000	37664	15956
630000	37690	15964
631000	37707	15963
632000	37734	15973
633000	37783	15996
634000	37814	16000
635000	37856	16020
636000	37919	16048
637000	37938	16053
638000	37970	16059
639000	37995	16067
640000	38046	16082
641000	38098	16113
642000	38118	16123
643000	38155	16137
644000	38174	16143
645000	38186	16147
646000	38244	16181
647000	38293	16204
648000	38326	16212
649000	38361	16222
650000	38396	16240
651000	38413	16234
652000	38469	16264
653000	38506	16287
654000	38532	16297
655000	38577	16312
656000	38599	16316
657000	38621	16320
658000	38637	16325
659000	38657	16330
660000	38690	16343
661000	38750	16378
662000	38784	16396
663000	38800	16403
664000	38848	16418
665000	38869	16423
666000	38896	16434
667000	38927	16446
668000	38949	16452
669000	38962	16451
670000	38989	16461
671000	39021	16478
672000	39041	16485
673000	39082	16497
674000	39096	16506
675000	39107	16505
676000	39150	16523
677000	39192	16534
678000	39236	16542
679000	39269	16552
680000	39317	16575
681000	39350	16591
682000	39368	16589
683000	39404	16606
684000	39428	16611
685000	39443	16613
686000	39469	16620
687000	39494	16626
688000	39512	16635
689000	39551	16661
690000	39579	16662
691000	39581	16659
692000	39621	16676
693000	39665	16701
694000	39684	16713
695000	39693	16713
696000	39709	16720
697000	39733	16732
698000	39751	16735
699000	39765	16728
700000	39790	16739
701000	39820	16738
702000	39869	16766
703000	39905	16783
704000	39930	16796
705000	39966	16803
706000	40012	16821
707000	40039	16830
708000	40080	16845
709000	40108	16857
710000	40160	16879
711000	40203	16893
712000	40227	16903
713000	40256	16914
714000	40280	16912
715000	40306	16925
716000	40344	16944
717000	40350	16939
718000	40363	16936
719000	40417	16970
720000	40447	16988
721000	40460	16991
722000	40488	17005
723000	40515	17014
724000	40559	17042
725000	40584	17057
726000	40599	17062
727000	40630	17086
728000	40659	17098
729000	40695	17112
730000	40721	17121
731000	40751	17137
732000	40787	17158
733000	40823	17167
734000	40847	17177
735000	40871	17180
736000	40902	17198
737000	40933	17206
738000	40966	17216
739000	40983	17221
740000	41001	17227
741000	41023	17236
742000	41041	17239
743000	41080	17251
744000	41089	17254
745000	41125	17269
746000	41179	17296
747000	41225	17321
748000	41247	17328
749000	41263	17328
750000	41297	17338
751000	41339	17350
752000	41359	17352
753000	41372	17354
754000	41422	17382
755000	41448	17388
756000	41474	17391
757000	41528	17425
758000	41578	17451
759000	41621	17474
760000	41658	17493
761000	41683	17500
762000	41698	17498
763000	41726	17515
764000	41797	17544
765000	41842	17563
766000	41850	17568
767000	41873	17574
768000	41898	17583
769000	41914	17585
770000	41938	17601
771000	41950	17597
772000	41974	17607
773000	41983	17608
774000	41999	17615
775000	42026	17621
776000	42058	17632
777000	42076	17638
778000	42100	17651
779000	42122	17654
780000	42139	17657
781000	42158	17657
782000	42191	17668
783000	42214	17674
784000	42254	17697
785000	42272	17702
786000	42291	17702
787000	42333	17723
788000	42350	17731
789000	42371	17737
790000	42402	17739
791000	42421	17743
792000	42443	17753
793000	42475	17765
794000	42499	17767
795000	42529	17784
796000	42557	17789
797000	42585	17810
798000	42605	17819
799000	42626	17821
800000	42645	17834
801000	42672	17844
802000	42703	17859
803000	42739	17873
804000	42759	17878
805000	42800	17894
806000	42809	17886
807000	42836	17898
808000	42849	17898
809000	42873	17908
810000	42898	17916
811000	42916	17921
812000	42937	17931
813000	42961	17937
814000	42998	17951
815000	43015	17957
816000	43032	17963
817000	43067	17983
818000	43102	17990
819000	43128	17991
820000	43141	17993
821000	43180	18010
822000	43194	17990
823000	43216	17997
824000	43241	18005
825000	43262	18011
826000	43299	18022
827000	43309	18026
828000	43349	18047
829000	43381	18051
830000	43404	18058
831000	43422	18059
832000	43435	18066
833000	43461	18079
834000	43488	18090
835000	43502	18091
836000	43550	18100
837000	43565	18103
838000	43613	18125
839000	43628	18129
840000	43658	18143
841000	43687	18155
842000	43725	18178
843000	43754	18181
844000	43774	18189
845000	43789	18191
846000	43837	18208
847000	43860	18220
848000	43885	18232
849000	43938	18270
850000	43964	18279
851000	43975	18278
852000	44005	18297
853000	44023	18301
854000	44039	18303
855000	44062	18308
856000	44089	18316
857000	44118	18318
858000	44157	18333
859000	44166	18334
860000	44195	18347
861000	44211	18346
862000	44231	18356
863000	44245	18360
864000	44254	18356
865000	44264	18354
866000	44282	18360
867000	44317	18377
868000	44343	18388
869000	44362	18395
870000	44378	18400
871000	44410	18413
872000	44432	18423
873000	44478	18443
874000	44501	18454
875000	44532	18477
876000	44555	18493
877000	44572	18504
878000	44585	18508
879000	44600	18513
880000	44637	18522
881000	44668	18535
882000	44674	18536
883000	44688	18535
884000	44704	18535
885000	44728	18546
886000	44753	18548
887000	44767	18552
888000	44781	18556
889000	44835	18585
890000	44883	18609
891000	44917	18633
892000	44933	18642
893000	44972	18659
894000	45011	18681
895000	45033	18693
896000	45061	18706
897000	45080	18719
898000	45101	18725
899000	45123	18731
900000	45139	18738
901000	45179	18753
902000	45210	18763
903000	45220	18764
904000	45237	18767
905000	45265	18769
906000	45310	18787
907000	45338	18793
908000	45355	18799
909000	45382	18812
910000	45394	18815
911000	45416	18828
912000	45449	18841
913000	45491	18850
914000	45524	18866
915000	45536	18867
916000	45570	18879
917000	45596	18894
918000	45649	18924
919000	45711	18956
920000	45729	18963
921000	45751	18976
922000	45786	18988
923000	45818	19003
924000	45840	19010
925000	45877	19024
926000	45907	19035
927000	45914	19034
928000	45927	19033
929000	45955	19039
930000	46000	19067
931000	46024	19071
932000	46065	19094
933000	46090	19097
934000	46117	19114
935000	46126	19117
936000	46143	19119
937000	46163	19129
938000	46192	19144
939000	46223	19160
940000	46249	19166
941000	46271	19169
942000	46294	19174
943000	46314	19181
944000	46326	19187
945000	46339	19190
946000	46367	19200
947000	46391	19206
948000	46412	19216
949000	46432	19218
950000	46452	19228
951000	46471	19224
952000	46503	19244
953000	46526	19253
954000	46548	19263
955000	46562	19265
956000	46579	19274
957000	46587	19272
958000	46604	19279
959000	46640	19298
960000	46659	19307
961000	46683	19310
962000	46699	19311
963000	46717	19310
964000	46731	19311
965000	46748	19315
966000	46763	19318
967000	46779	19328
968000	46808	19344
969000	46834	19354
970000	46864	19365
971000	46900	19382
972000	46931	19377
973000	46967	19393
974000	46995	19406
975000	47011	19405
976000	47027	19409
977000	47051	19421
978000	47074	19428
979000	47094	19439
980000	47101	19441
981000	47119	19453
982000	47134	19456
983000	47148	19457
984000	47171	19466
985000	47204	19486
986000	47221	19480
987000	47259	19504
988000	47290	19514
989000	47312	19521
990000	47331	19533
991000	47345	19526
992000	47366	19529
993000	47388	19537
994000	47408	19543
995000	47427	19545
996000	47465	19551
997000	47521	19583
998000	47553	19593
999000	47567	19595
1000000	47613	19616
1001000	47634	19627
1002000	47658	19635
1003000	47679	19632
1004000	47699	19632
1005000	47719	19635
1006000	47745	19639
1007000	47753	19644
1008000	47774	19656
1009000	47802	19670
1010000	47840	19694
1011000	47898	19718
1012000	47922	19728
1013000	47947	19734
1014000	47976	19734
1015000	47993	19741
1016000	48024	19759
1017000	48037	19759
1018000	48056	19759
1019000	48076	19758
1020000	48118	19772
1021000	48155	19800
1022000	48184	19806
1023000	48205	19817
1024000	48226	19827
1025000	48251	19845
1026000	48276	19855
1027000	48290	19860
1028000	48309	19866
1029000	48324	19869
1030000	48342	19876
1031000	48349	19870
1032000	48366	19877
1033000	48391	19887
1034000	48430	19911
1035000	48462	19915
1036000	48477	19914
1037000	48490	19920
1038000	48500	19922
1039000	48513	19927
1040000	48551	19942
1041000	48586	19951
1042000	48616	19966
1043000	48639	19976
1044000	48654	19981
1045000	48679	19986
1046000	48718	20004
1047000	48736	20003
1048000	48761	20002
1049000	48779	20007
1050000	48795	20013
1051000	48815	20018
1052000	48834	20023
1053000	48853	20028
1054000	48869	20034
1055000	48892	20043
1056000	48904	20045
1057000	48970	20077
1058000	49007	20095
1059000	49023	20105
1060000	49043	20118
1061000	49056	20111
1062000	49080	20128
1063000	49100	20134
1064000	49127	20139
1065000	49137	20142
1066000	49165	20158
1067000	49181	20162
1068000	49201	20179
1069000	49217	20189
1070000	49248	20204
1071000	49276	20205
1072000	49288	20207
1073000	49308	20214
1074000	49323	20214
1075000	49339	20217
1076000	49359	20232
1077000	49375	20235
1078000	49406	20251
1079000	49431	20266
1080000	49466	20280
1081000	49501	20290
1082000	49513	20298
1083000	49519	20298
1084000	49548	20303
1085000	49567	20304
1086000	49586	20307
1087000	49607	20319
1088000	49637	20329
1089000	49666	20340
1090000	49691	20353
1091000	49719	20363
1092000	49734	20372
1093000	49765	20388
1094000	49785	20394
1095000	49804	20402
1096000	49833	20409
1097000	49855	20415
1098000	49877	20424
