N	V	V1
505000	46720	24251
506000	46767	24275
507000	46812	24301
508000	46862	24335
509000	46917	24367
510000	46974	24399
511000	47047	24440
512000	47116	24485
513000	47174	24502
514000	47262	24543
515000	47358	24591
516000	47421	24621
517000	47504	24665
518000	47566	24686
519000	47608	24702
520000	47666	24733
521000	47716	24757
522000	47762	24783
523000	47811	24798
524000	47868	24825
525000	47926	24852
526000	47986	24877
527000	48075	24932
528000	48166	24973
529000	48240	25003
530000	48278	25015
531000	48321	25042
532000	48372	25066
533000	48409	25072
534000	48442	25080
535000	48491	25102
536000	48538	25128
537000	48594	25151
538000	48648	25183
539000	48697	25213
540000	48742	25232
541000	48779	25248
542000	48815	25253
543000	48865	25281
544000	48910	25300
545000	48954	25316
546000	49005	25347
547000	49075	25392
548000	49130	25420
549000	49194	25452
550000	49278	25495
551000	49358	25548
552000	49429	25581
553000	49489	25616
554000	49557	25659
555000	49620	25701
556000	49667	25725
557000	49729	25761
558000	49789	25792
559000	49832	25807
560000	49892	25849
561000	49946	25878
562000	50014	25919
563000	50054	25943
564000	50098	25959
565000	50147	25971
566000	50183	25981
567000	50223	25994
568000	50282	26021
569000	50339	26066
570000	50399	26106
571000	50455	26132
572000	50504	26155
573000	50566	26182
574000	50632	26222
575000	50694	26259
576000	50736	26283
577000	50784	26309
578000	50839	26342
579000	50881	26360
580000	50923	26379
581000	50957	26393
582000	51008	26416
583000	51065	26457
584000	51114	26479
585000	51177	26517
586000	51237	26545
587000	51315	26585
588000	51403	26628
589000	51482	26659
590000	51556	26683
591000	51611	26704
592000	51686	26746
593000	51754	26773
594000	51809	26796
595000	51875	26821
596000	51940	26858
597000	52006	26889
598000	52067	26913
599000	52117	26930
600000	52165	26958
601000	52214	26988
602000	52269	27022
603000	52317	27036
604000	52354	27049
605000	52389	27064
606000	52423	27080
607000	52469	27104
608000	52538	27143
609000	52601	27171
610000	52658	27198
611000	52708	27213
612000	52769	27247
613000	52825	27279
614000	52886	27308
615000	52943	27333
616000	53021	27380
617000	53074	27402
618000	53121	27426
619000	53179	27456
620000	53226	27486
621000	53272	27509
622000	53322	27537
623000	53367	27560
624000	53431	27608
625000	53483	27628
626000	53558	27667
627000	53620	27690
628000	53732	27763
629000	53797	27785
630000	53861	27801
631000	53923	27831
