N	V	V1
876000	49589	20319
877000	49628	20332
878000	49659	20327
879000	49694	20333
880000	49740	20345
881000	49780	20349
882000	49816	20349
883000	49849	20358
884000	49888	20375
885000	49918	20383
886000	49960	20403
887000	50002	20420
888000	50035	20417
889000	50077	20432
890000	50133	20457
891000	50181	20474
892000	50242	20504
893000	50285	20520
894000	50330	20539
895000	50382	20560
896000	50427	20577
897000	50473	20595
898000	50521	20610
899000	50575	20628
900000	50617	20635
901000	50666	20660
902000	50707	20673
903000	50762	20692
904000	50806	20710
905000	50839	20723
906000	50876	20738
907000	50899	20749
908000	50929	20761
909000	50965	20777
910000	50985	20781
911000	51012	20796
912000	51031	20808
913000	51054	20806
914000	51079	20816
915000	51094	20820
916000	51108	20822
917000	51127	20832
918000	51169	20855
919000	51218	20880
920000	51237	20879
921000	51269	20887
922000	51310	20903
923000	51332	20898
924000	51353	20904
925000	51383	20915
926000	51424	20920
927000	51462	20941
928000	51505	20966
929000	51528	20973
930000	51546	20976
931000	51567	20984
932000	51584	20993
933000	51601	20998
934000	51621	21007
935000	51633	21001
936000	51660	21016
937000	51704	21037
938000	51720	21041
939000	51737	21039
940000	51765	21048
941000	51788	21051
942000	51807	21056
943000	51826	21060
944000	51847	21067
945000	51879	21080
946000	51907	21094
947000	51929	21101
948000	51961	21097
949000	51991	21108
950000	52014	21117
951000	52040	21123
952000	52063	21120
953000	52085	21125
954000	52104	21132
955000	52128	21141
956000	52145	21146
957000	52192	21168
958000	52222	21175
959000	52262	21183
960000	52299	21202
961000	52328	21213
962000	52353	21212
963000	52406	21229
964000	52462	21242
965000	52489	21237
966000	52532	21249
967000	52569	21267
968000	52637	21305
969000	52664	21307
970000	52692	21318
971000	52727	21332
972000	52783	21362
973000	52824	21383
974000	52849	21384
975000	52904	21392
976000	52934	21401
977000	52999	21435
978000	53022	21441
979000	53036	21449
980000	53057	21454
981000	53071	21453
982000	53093	21464
983000	53113	21464
984000	53129	21462
985000	53146	21455
986000	53162	21459
987000	53172	21456
988000	53188	21458
989000	53208	21458
990000	53230	21459
991000	53246	21462
992000	53264	21461
993000	53289	21466
994000	53309	21477
995000	53341	21491
996000	53374	21502
997000	53392	21501
998000	53406	21492
999000	53437	21503
1000000	53459	21509
1001000	53471	21509
1002000	53498	21513
1003000	53529	21518
1004000	53550	21518
1005000	53572	21525
1006000	53589	21534
1007000	53612	21540
1008000	53636	21545
1009000	53663	21550
1010000	53700	21566
1011000	53716	21566
1012000	53744	21573
1013000	53759	21573
1014000	53780	21574
1015000	53803	21576
1016000	53859	21606
1017000	53920	21637
1018000	53996	21678
1019000	54048	21698
1020000	54083	21713
1021000	54121	21724
1022000	54143	21727
1023000	54184	21746
1024000	54231	21772
1025000	54274	21798
1026000	54335	21828
1027000	54384	21855
1028000	54456	21890
1029000	54514	21929
1030000	54546	21939
1031000	54590	21963
1032000	54644	21996
1033000	54688	22013
1034000	54712	22013
1035000	54753	22035
1036000	54822	22076
1037000	54872	22100
1038000	54913	22115
1039000	54956	22135
1040000	55015	22168
1041000	55070	22190
1042000	55091	22196
1043000	55124	22206
1044000	55168	22223
1045000	55220	22237
1046000	55268	22263
1047000	55350	22308
1048000	55400	22335
1049000	55447	22354
1050000	55496	22373
1051000	55569	22426
1052000	55591	22434
1053000	55661	22467
1054000	55707	22484
1055000	55769	22517
1056000	55819	22544
1057000	55855	22553
1058000	55913	22582
1059000	55987	22625
1060000	56047	22642
1061000	56103	22666
1062000	56184	22719
1063000	56232	22738
1064000	56263	22732
1065000	56310	22753
1066000	56353	22764
1067000	56443	22800
1068000	56476	22803
1069000	56503	22804
1070000	56530	22806
1071000	56562	22806
1072000	56611	22826
1073000	56645	22834
1074000	56699	22850
1075000	56733	22872
1076000	56782	22892
1077000	56850	22933
1078000	56878	22938
1079000	56927	22969
1080000	56977	22981
1081000	57035	23014
1082000	57076	23030
1083000	57112	23044
1084000	57206	23093
1085000	57240	23102
1086000	57284	23109
1087000	57363	23167
1088000	57417	23197
1089000	57453	23210
1090000	57576	23282
1091000	57716	23355
1092000	57805	23385
1093000	57870	23416
1094000	57929	23447
1095000	58032	23499
1096000	58102	23533
1097000	58188	23579
1098000	58257	23603
1099000	58338	23635
1100000	58424	23680
1101000	58474	23683
1102000	58518	23689
1103000	58583	23733
1104000	58647	23752
1105000	58698	23775
1106000	58770	23815
1107000	58832	23831
1108000	58913	23853
1109000	58968	23866
1110000	59016	23884
1111000	59061	23888
1112000	59119	23906
1113000	59167	23915
1114000	59228	23938
1115000	59259	23936
1116000	59303	23955
1117000	59350	23981
1118000	59407	23997
1119000	59452	24012
1120000	59511	24037
1121000	59549	24046
1122000	59618	24078
1123000	59675	24098
1124000	59722	24117
1125000	59772	24145
1126000	59817	24170
1127000	59860	24176
1128000	59886	24178
1129000	59920	24193
1130000	59940	24197
1131000	59999	24209
1132000	60027	24207
1133000	60051	24219
1134000	60104	24243
1135000	60162	24275
1136000	60233	24315
1137000	60274	24330
1138000	60322	24346
1139000	60391	24381
1140000	60470	24422
1141000	60524	24441
1142000	60590	24468
1143000	60652	24487
1144000	60683	24486
1145000	60686	24453
1146000	60724	24470
1147000	60761	24480
1148000	60810	24503
1149000	60854	24524
1150000	60896	24538
1151000	60945	24560
1152000	60968	24553
1153000	61017	24581
1154000	61046	24595
1155000	61106	24627
1156000	61145	24645
1157000	61170	24653
1158000	61198	24657
1159000	61243	24674
1160000	61274	24685
1161000	61314	24707
1162000	61360	24727
1163000	61395	24744
1164000	61427	24756
1165000	61494	24793
1166000	61533	24808
1167000	61583	24833
1168000	61608	24842
1169000	61640	24852
1170000	61689	24867
1171000	61729	24880
1172000	61763	24887
1173000	61847	24909
1174000	61926	24947
1175000	61997	24978
1176000	62053	25006
1177000	62115	25037
1178000	62173	25066
1179000	62238	25101
1180000	62307	25120
1181000	62352	25131
1182000	62401	25148
1183000	62462	25170
1184000	62525	25202
1185000	62577	25221
1186000	62648	25248
1187000	62722	25280
1188000	62756	25283
1189000	62798	25293
1190000	62866	25316
1191000	62901	25324
1192000	62954	25352
1193000	63002	25374
1194000	63054	25399
1195000	63117	25428
1196000	63174	25451
1197000	63236	25474
1198000	63263	25482
1199000	63316	25499
1200000	63360	25515
1201000	63414	25543
1202000	63514	25611
1203000	63570	25627
1204000	63608	25637
1205000	63671	25655
1206000	63734	25681
1207000	63808	25718
1208000	63870	25738
1209000	63926	25758
1210000	63966	25770
1211000	64006	25790
1212000	64053	25795
1213000	64103	25807
1214000	64151	25824
1215000	64204	25845
1216000	64263	25882
1217000	64318	25901
1218000	64366	25918
1219000	64429	25939
1220000	64470	25941
1221000	64540	25961
1222000	64589	25974
1223000	64637	25978
1224000	64696	25995
1225000	64760	26025
1226000	64801	26043
1227000	64848	26056
1228000	64881	26076
1229000	64921	26094
1230000	64965	26110
1231000	64990	26108
1232000	65026	26124
1233000	65078	26142
1234000	65108	26153
1235000	65148	26171
1236000	65195	26187
1237000	65242	26211
1238000	65278	26219
1239000	65328	26243
1240000	65387	26271
1241000	65422	26281
1242000	65458	26289
1243000	65513	26315
1244000	65565	26333
1245000	65587	26339
1246000	65619	26355
1247000	65657	26375
1248000	65696	26402
1249000	65737	26419
1250000	65767	26433
1251000	65814	26452
1252000	65860	26476
1253000	65924	26515
1254000	65939	26520
1255000	65951	26524
1256000	66018	26550
1257000	66041	26557
1258000	66114	26603
1259000	66160	26623
1260000	66199	26636
1261000	66256	26666
1262000	66308	26698
1263000	66342	26703
1264000	66367	26705
1265000	66409	26728
1266000	66451	26749
1267000	66487	26760
1268000	66524	26770
1269000	66545	26768
1270000	66576	26782
1271000	66618	26797
1272000	66657	26813
1273000	66687	26829
1274000	66719	26840
1275000	66775	26880
1276000	66811	26897
1277000	66833	26892
1278000	66856	26902
1279000	66902	26916
1280000	66937	26937
1281000	67005	26973
1282000	67045	26985
1283000	67072	26997
1284000	67133	27030
1285000	67196	27057
1286000	67224	27070
1287000	67255	27077
1288000	67300	27093
1289000	67327	27106
1290000	67368	27127
1291000	67405	27144
1292000	67436	27162
1293000	67469	27181
1294000	67498	27189
1295000	67537	27201
1296000	67567	27204
1297000	67592	27218
1298000	67629	27234
1299000	67650	27240
1300000	67692	27255
1301000	67719	27260
1302000	67743	27266
1303000	67768	27272
1304000	67793	27285
1305000	67822	27295
1306000	67870	27317
1307000	67896	27329
1308000	67923	27347
1309000	67961	27367
1310000	67988	27380
1311000	68010	27392
1312000	68040	27397
1313000	68092	27433
1314000	68107	27430
1315000	68158	27456
1316000	68191	27464
1317000	68227	27473
1318000	68324	27540
1319000	68420	27595
1320000	68474	27627
1321000	68517	27643
1322000	68582	27684
1323000	68656	27723
1324000	68703	27743
1325000	68742	27757
1326000	68800	27782
1327000	68829	27792
1328000	68873	27816
1329000	68960	27856
1330000	69008	27879
1331000	69046	27895
1332000	69063	27904
1333000	69104	27910
1334000	69161	27937
1335000	69181	27945
1336000	69206	27943
1337000	69227	27939
1338000	69306	27974
1339000	69358	27995
1340000	69385	28005
1341000	69457	28041
1342000	69497	28058
1343000	69525	28068
1344000	69564	28092
1345000	69600	28107
1346000	69661	28145
1347000	69704	28157
1348000	69738	28164
1349000	69753	28166
1350000	69796	28180
1351000	69826	28186
1352000	69846	28193
1353000	69874	28200
1354000	69927	28228
1355000	69983	28262
1356000	70007	28269
1357000	70032	28272
1358000	70063	28278
1359000	70087	28281
1360000	70115	28295
1361000	70148	28300
1362000	70163	28302
1363000	70203	28326
1364000	70277	28365
1365000	70337	28387
1366000	70412	28430
1367000	70481	28473
1368000	70515	28473
1369000	70550	28487
1370000	70591	28505
1371000	70639	28527
1372000	70671	28534
1373000	70698	28546
1374000	70736	28567
1375000	70766	28583
1376000	70818	28611
1377000	70846	28621
1378000	70861	28617
1379000	70872	28615
1380000	70900	28620
1381000	70915	28622
1382000	70939	28633
1383000	70998	28660
1384000	71033	28675
1385000	71068	28689
1386000	71117	28721
1387000	71164	28743
1388000	71225	28768
1389000	71262	28782
1390000	71297	28796
1391000	71328	28811
1392000	71375	28837
1393000	71409	28847
1394000	71438	28856
1395000	71465	28860
1396000	71500	28878
1397000	71525	28881
1398000	71585	28899
1399000	71617	28899
1400000	71660	28930
1401000	71687	28928
1402000	71736	28959
1403000	71776	28977
1404000	71830	29005
1405000	71860	29007
1406000	71905	29024
1407000	71946	29035
1408000	71984	29048
1409000	72022	29057
1410000	72040	29057
1411000	72065	29055
1412000	72105	29073
1413000	72156	29101
1414000	72196	29117
1415000	72263	29153
1416000	72283	29153
1417000	72317	29168
1418000	72352	29175
1419000	72392	29199
1420000	72412	29197
1421000	72442	29208
1422000	72474	29215
1423000	72492	29212
1424000	72554	29246
1425000	72580	29254
1426000	72610	29264
1427000	72629	29267
1428000	72658	29287
1429000	72690	29305
1430000	72722	29320
1431000	72795	29368
1432000	72834	29390
1433000	72864	29397
1434000	72898	29423
1435000	72950	29449
1436000	72987	29458
1437000	73048	29497
1438000	73109	29534
1439000	73138	29542
1440000	73169	29554
1441000	73193	29562
1442000	73241	29594
1443000	73289	29629
1444000	73318	29646
1445000	73363	29670
1446000	73386	29675
1447000	73416	29669
1448000	73451	29688
1449000	73491	29707
1450000	73534	29733
1451000	73556	29744
1452000	73577	29752
1453000	73611	29762
1454000	73671	29791
1455000	73748	29835
1456000	73775	29844
1457000	73811	29864
1458000	73851	29882
1459000	73875	29890
1460000	73927	29923
1461000	73949	29925
1462000	74012	29951
1463000	74094	29998
1464000	74133	30016
1465000	74166	30035
1466000	74193	30046
1467000	74242	30069
1468000	74267	30081
1469000	74295	30080
1470000	74348	30108
1471000	74388	30128
1472000	74414	30138
1473000	74461	30164
1474000	74479	30172
1475000	74541	30207
1476000	74568	30208
1477000	74602	30221
1478000	74646	30243
1479000	74681	30259
1480000	74749	30308
1481000	74789	30331
1482000	74844	30354
1483000	74882	30367
1484000	74953	30410
1485000	75029	30461
1486000	75045	30464
1487000	75080	30481
1488000	75105	30490
1489000	75147	30517
1490000	75172	30524
